AK-47 | Blue Laminate (Field-Tested) с флоатом 0.15369693934917, ценой 342.0 и средней ценой 361.639398
SG 553 | Darkwing (Factory New) с флоатом 0.0060776900500059, ценой 248.46 и средней ценой 249.432000
StatTrak™ AWP | Capillary (Minimal Wear) с флоатом 0.070965267717838, ценой 219.54 и средней ценой 227.300078
StatTrak™ UMP-45 | Exposure (Minimal Wear) с флоатом 0.071851082146168, ценой 108.15 и средней ценой 112.440000
Dual Berettas | Pyre (Minimal Wear) с флоатом 0.073130011558533, ценой 96.32 и средней ценой 98.690000
Five-SeveN | Copper Galaxy (Minimal Wear) с флоатом 0.071540161967278, ценой 177.5 и средней ценой 178.245000
FAMAS | Commemoration (Minimal Wear) с флоатом 0.074270725250244, ценой 776.54 и средней ценой 851.420000
★ Shadow Daggers | Marble Fade (Factory New) с флоатом 0.0054465937428176, ценой 8124.43 и средней ценой 8471.230000
M4A4 | The Battlestar (Minimal Wear) с флоатом 0.071469351649284, ценой 577.0 и средней ценой 744.000000
StatTrak™ M4A1-S | Leaded Glass (Minimal Wear) с флоатом 0.074681885540485, ценой 927.59 и средней ценой 943.930000
StatTrak™ AWP | Capillary (Minimal Wear) с флоатом 0.070965267717838, ценой 219.06 и средней ценой 237.690000
M4A4 | The Battlestar (Minimal Wear) с флоатом 0.071469351649284, ценой 577.0 и средней ценой 608.000000
AUG | Daedalus (Factory New) с флоатом 0.0063880132511258, ценой 54.58 и средней ценой 57.745000
StatTrak™ Glock-18 | Bunsen Burner (Minimal Wear) с флоатом 0.070327840745449, ценой 100.09 и средней ценой 101.183000
Desert Eagle | Kumicho Dragon (Battle-Scarred) с флоатом 0.12085068970919, ценой 550.46 и средней ценой 583.380000
StatTrak™ M4A1-S | Leaded Glass (Minimal Wear) с флоатом 0.074681885540485, ценой 925.04 и средней ценой 954.644167
M4A1-S | Guardian (Minimal Wear) с флоатом 0.072496220469475, ценой 535.0 и средней ценой 564.000000
Souvenir Sawed-Off | Brake Light (Minimal Wear) с флоатом 0.071644946932793, ценой 145.74 и средней ценой 230.000000
Desert Eagle | Kumicho Dragon (Battle-Scarred) с флоатом 0.12085068970919, ценой 550.02 и средней ценой 560.000000
Desert Eagle | Meteorite (Minimal Wear) с флоатом 0.072489805519581, ценой 46.25 и средней ценой 90.000000
CZ75-Auto | Eco (Factory New) с флоатом 0.0059622703120112, ценой 185.0 и средней ценой 241.000000
SG 553 | Darkwing (Factory New) с флоатом 0.0060776900500059, ценой 245.52 и средней ценой 249.432000
StatTrak™ AWP | Capillary (Minimal Wear) с флоатом 0.070965267717838, ценой 209.56 и средней ценой 227.226154
AWP | Capillary (Minimal Wear) с флоатом 0.073602631688118, ценой 76.53 и средней ценой 77.610000
P250 | Supernova (Well-Worn) с флоатом 0.38014250993729, ценой 70.0 и средней ценой 73.546667
StatTrak™ M4A1-S | Leaded Glass (Minimal Wear) с флоатом 0.074681885540485, ценой 924.31 и средней ценой 943.930000
StatTrak™ AWP | Capillary (Minimal Wear) с флоатом 0.070965267717838, ценой 209.16 и средней ценой 237.690000
